price,year,make,model,trim,miles,transmission,drivetrain,highway_mpg,city_mpg,doors,latitude,longitude,listing_date,car_age,price_per_mile,region_cluster_1,region_cluster_2,region_cluster_3,region_cluster_4,region_cluster_5,region_cluster_6,region_cluster_7,region_cluster_8,region_cluster_9,age_miles_ratio,mileage_bucket,region_cluster
19999.0,2023,17,65,47,46398.0,1,0,35.0,28.0,5.0,33.640607,-112.252489,1754102659,2,0.4310315099788784,0,0,0,0,0,0,0,0,0,15466.0,1,8
20933.0,2023,17,65,47,53317.0,1,0,35.0,28.0,5.0,37.320745,-79.996871,1754620522,2,0.3926139880338353,0,0,0,0,0,0,0,0,1,17772.333333333332,1,9
15918.0,2020,17,46,57,59960.0,1,1,36.0,31.0,5.0,39.090866,-84.252162,1754534563,5,0.2654769846564376,0,0,1,0,0,0,0,0,0,9993.333333333334,1,3
59922.0,2022,3,78,25,28782.0,0,0,26.0,20.0,5.0,38.798766,-90.59846,1754017193,3,2.081926203877424,0,0,1,0,0,0,0,0,0,7195.5,1,7
14524.0,2021,17,84,58,69859.0,1,1,40.0,32.0,4.0,35.035373,-89.794436,1754112314,4,0.2079044933365779,1,0,0,0,0,0,0,0,0,13971.8,2,7
16692.0,2024,17,46,58,46376.0,1,1,36.0,31.0,5.0,40.476648,-74.862592,1754620504,1,0.3599275487321028,0,0,0,0,0,1,0,0,0,23188.0,1,6
28582.0,2022,19,36,8,9943.0,1,0,33.0,26.0,5.0,43.10755,-75.29466,1754360657,3,2.8745851352710448,0,0,0,0,0,1,0,0,0,2485.75,0,6
12795.0,2020,17,46,58,85705.0,1,1,36.0,31.0,5.0,31.087156,-97.705268,1754446671,5,0.1492911732104311,0,0,0,0,1,0,0,0,0,14284.166666666666,2,4
27990.0,2020,6,31,72,100051.0,0,0,28.0,24.0,4.0,42.268412,-71.406589,1749525780,5,0.2797573237648799,0,0,0,0,0,1,0,0,0,16675.166666666668,3,6
32981.0,2020,3,77,28,63452.0,0,2,27.0,21.0,5.0,39.955002,-83.105412,1754533857,5,0.519778730378869,0,0,1,0,0,0,0,0,0,10575.333333333334,2,3
18145.0,2021,17,46,57,62792.0,1,1,36.0,31.0,5.0,41.550949,-87.273945,1753496631,4,0.2889699324754746,0,0,1,0,0,0,0,0,0,12558.4,2,3
8900.0,2014,3,24,0,78255.0,0,1,42.0,30.0,4.0,42.477742,-83.464772,1752984869,11,0.1137307520286243,0,0,1,0,0,0,0,0,0,6521.25,2,3
11960.0,2020,17,84,57,69177.0,1,1,40.0,32.0,4.0,35.688606,-78.55963,1744940223,5,0.1728898333261055,0,0,0,0,0,0,0,0,1,11529.5,2,9
7000.0,2011,6,31,72,242312.0,0,2,30.0,25.0,4.0,36.15231,-95.904878,1736401471,14,0.0288883753177721,0,0,0,0,1,0,0,0,0,16154.133333333331,3,7
14000.0,2015,3,78,28,159138.0,0,0,26.0,20.0,5.0,36.15231,-95.904878,1749613083,10,0.0879739597079264,0,0,0,0,1,0,0,0,0,14467.09090909091,3,7
9932.0,2018,6,35,49,79913.0,0,1,42.0,30.0,4.0,31.087156,-97.705268,1753759103,7,0.1242851601116213,0,0,0,0,1,0,0,0,0,9989.125,2,4
81900.0,2023,6,33,34,15817.0,0,0,34.0,28.0,4.0,35.688606,-78.55963,1747878172,2,5.177973066953278,0,0,0,0,0,0,0,0,1,5272.333333333333,0,9
23590.0,2023,12,37,21,34019.0,0,1,35.0,27.0,4.0,35.373771,-80.633215,1754360564,2,0.6934360210470619,0,0,0,0,0,0,0,0,1,11339.666666666666,1,9
