price,year,make,model,trim,miles,transmission,drivetrain,highway_mpg,city_mpg,doors,latitude,longitude,listing_date
38489.0,2025,Volkswagen,Atlas,SE w/Tech,18709.0,Automatic,4WD,26.0,20.0,5,42.165791,-83.174964,1754710294
38497.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,22278.0,Automatic,FWD,27.0,21.0,5,36.143864,-115.127092,1754710295
38488.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19693.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754710294
38480.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,23222.0,Automatic,FWD,27.0,21.0,5,36.143864,-115.127092,1754710589
38467.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,22946.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754623736
38494.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,22331.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754710295
38479.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,22874.0,Automatic,FWD,27.0,21.0,5,47.472687,-122.333377,1754710294
38479.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,23123.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754710294
38501.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,22584.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754710581
20995.0,2023,Hyundai,Elantra,N Line,58872.0,Automatic,FWD,36.0,28.0,4,39.111508,-77.558173,1754632053
38466.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,23536.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754710587
19990.0,2019,Volkswagen,Atlas,SE w/Tech,100365.0,Automatic,FWD,25.0,18.0,5,34.00343,-83.784309,1754797867
13990.0,2017,Volkswagen,Passat,SE,104435.0,Automatic,FWD,38.0,25.0,4,34.00343,-83.784309,1751686507
30795.0,2022,Honda,Ridgeline,RTL-E,52881.0,Automatic,4WD,25.0,19.0,4,43.620364,-116.298611,1754625774
27990.0,2019,Volkswagen,Atlas,SE w/Tech,39505.0,Automatic,4WD,24.0,21.0,5,33.549055,-84.550698,1754366867
14990.0,2018,Volkswagen,Passat,R-Line,92425.0,Automatic,FWD,38.0,25.0,4,35.415715,-97.629616,1753934109
15590.0,2017,Volkswagen,Passat,SE,74431.0,Automatic,FWD,38.0,25.0,4,28.077342,-81.601247,1754362355
9962.0,2011,Cadillac,CTS,Luxury Collection,78946.0,Automatic,4WD,31.0,22.0,4,38.816667,-104.84081,1754799457
16990.0,2021,Hyundai,Kona EV,Limited,34051.0,Automatic,FWD,108.0,132.0,5,39.795149,-105.0241,1754195401
22420.0,2021,Hyundai,Palisade,SEL,94091.0,Automatic,FWD,27.0,19.0,5,33.941257,-83.479772,1753501157
5327.0,2006,Chevrolet,Monte Carlo,LS,138804.0,Automatic,FWD,32.0,21.0,2,39.072273,-84.333087,1754451211
4406.0,2009,Chevrolet,Impala,LT,172448.0,Automatic,FWD,29.0,22.0,4,39.072273,-84.333087,1754451206
89970.0,2023,Cadillac,CT5,V-Series Blackwing,18458.0,Manual,RWD,21.0,13.0,4,34.091826,-84.00786,1754798743
19500.0,2020,Hyundai,Palisade,SEL,116907.0,Automatic,4WD,25.0,19.0,5,38.89645,-77.107946,1754796188
20459.0,2018,Volkswagen,Atlas,SE w/Tech,60816.0,Automatic,4WD,24.0,21.0,5,42.908844,-77.69772,1754796224
29358.0,2022,Honda,Ridgeline,RTL-E,59759.0,Automatic,4WD,25.0,19.0,4,35.096222,-80.883523,1753842548
27435.0,2019,Chevrolet,Express Passenger,LT,73887.0,Automatic,RWD,32.0,24.0,4,35.518236,-78.320166,1754798522
34122.0,2024,Toyota,RAV4,XLE,8363.0,Automatic,FWD,35.0,28.0,5,36.337643,-78.443088,1754882572
33643.0,2023,Cadillac,CT4,Sport,11390.0,Automatic,RWD,32.0,23.0,4,42.908844,-77.69772,1754709614
25500.0,2020,Toyota,RAV4,XLE,34350.0,Automatic,FWD,35.0,28.0,5,33.830346,-118.167192,1754882569
50000.0,2024,Chevrolet,Silverado 2500HD,LTZ,73798.0,Automatic,4WD,32.0,24.0,4,35.186854,-89.90119,1754368278
47638.0,2025,Cadillac,CT5,Premium Luxury,19640.0,Automatic,4WD,31.0,22.0,4,42.908844,-77.69772,1754363517
28910.0,2019,Lexus,NX,300,16447.0,Automatic,4WD,28.0,22.0,5,42.908844,-77.69772,1754796517
29514.0,2025,Nissan,Kicks,SR AWD,20.0,CVT,4WD,34.0,27.0,5,37.890332,-122.130024,1754445913
16990.0,2015,Hyundai,Tucson,Limited,57082.0,Automatic,4WD,28.0,21.0,5,40.549286,-74.58278,1754029674
14590.0,2019,Hyundai,Kona,SE,100591.0,Automatic,FWD,35.0,30.0,5,38.825125,-121.312132,1754449267
12790.0,2016,Hyundai,Elantra GT,Base,74806.0,Automatic,FWD,37.0,27.0,5,45.543842,-122.41855,1754705243
18990.0,2017,Hyundai,Elantra,Limited,30043.0,Automatic,FWD,41.0,31.0,4,41.415114,-82.162291,1754449470
14990.0,2017,Hyundai,Elantra,SE,67604.0,Automatic,FWD,43.0,33.0,4,42.268412,-71.406589,1754363410
19877.0,2024,Hyundai,Elantra,SEL,8621.0,CVT,FWD,41.0,31.0,4,38.468752,-77.399995,1753415417
